Publication	taxa	pct of publications	pct of taxa
Species Plantarum	1089	0.03%	1.68%
Prodr.	1081	0.05%	3.34%
Ann. Mycol.	901	0.06%	4.73%
Gen.	860	0.08%	6.05%
Linnaea	750	0.10%	7.21%
Ann. Sci. Nat. Bot. sér.	709	0.11%	8.30%
Fl. Tell.	701	0.13%	9.38%
Fam.	618	0.15%	10.33%
Mycologia	607	0.16%	11.26%
Bot. Jahrb. Syst.	567	0.18%	12.14%
Palaeontographica, Abt. B, Paläophytol.	565	0.19%	13.01%
Flora	527	0.21%	13.82%
Bull. Soc. Bot. France	427	0.23%	14.47%
Sylva Tell.	426	0.24%	15.13%
Rev. Gen.	397	0.26%	15.74%
Orchid Rev.	392	0.28%	16.34%
Mycotaxon	388	0.29%	16.94%
Palaeobotanist	383	0.31%	17.53%
Hedwigia	361	0.32%	18.09%
J. Linn. Soc., Bot.	353	0.34%	18.63%
Bull. Torrey Bot. Club	310	0.36%	19.11%
Sydowia	307	0.37%	19.58%
Trans. Brit. Mycol. Soc.	307	0.39%	20.05%
Gard. Dict. Abr. ed.	303	0.41%	20.52%
J. Bot.	300	0.42%	20.98%
Canad. J. Bot.	299	0.44%	21.44%
Dict. Sci. Nat.	278	0.45%	21.87%
Nat. Pflanzenfam.	263	0.47%	22.28%
Hooker's Icon. Pl.	253	0.49%	22.66%
Phytologia	244	0.50%	23.04%
Ist. Bot. Univ. Lab. Crittog. Pavia Atti ser.	238	0.52%	23.41%
Gen. Fungi	236	0.53%	23.77%
Bull. Soc. Imp. Naturalistes Moscou	234	0.55%	24.13%
Sitzungsber. Kaiserl. Akad. Wiss., Math.-Naturwiss. Cl., Abt.	231	0.57%	24.49%
Bijdr.	227	0.58%	24.84%
Kew Bull.	211	0.60%	25.16%
Amer. J. Bot.	209	0.62%	25.48%
Proc. Amer. Acad. Arts	208	0.63%	25.80%
Trans. Linn. Soc. London	205	0.65%	26.12%
Bull. Soc. Mycol. France	203	0.66%	26.43%
Syll. Fungorum	200	0.68%	26.74%
Ber. Deutsch. Bot. Ges.	196	0.70%	27.04%
Bot. Zeitung (Berlin)	193	0.71%	27.34%
Enum.	190	0.73%	27.63%
Fl. Cochinch.	190	0.75%	27.92%
Hist. Pl. Guiane	190	0.76%	28.21%
Repert. Spec. Nov. Regni Veg.	190	0.78%	28.51%
Taxon	190	0.79%	28.80%
Nova Gen. Sp.	184	0.81%	29.08%
Nat. Arr. Brit. Pl.	183	0.83%	29.36%
Compt. Rend. Hebd. Séances Acad. Sci.	182	0.84%	29.64%
Nova Hedwigia	178	0.86%	29.92%
N. Amer. Fl.	176	0.88%	30.19%
Rev. Palaeobot. Palynol.	166	0.89%	30.45%
Bull. Sci. Soc. Philom. Paris	161	0.91%	30.69%
Bull. Mens. Soc. Linn. Paris	158	0.92%	30.94%
Notizbl. Bot. Gart. Berlin-Dahlem	158	0.94%	31.18%
Arch. Protistenk.	152	0.96%	31.41%
Hooker's J. Bot. Kew Gard. Misc.	151	0.97%	31.65%
Bull. Misc. Inform.	147	0.99%	31.87%
London J. Bot.	147	1.00%	32.10%
Fl. Brasil.	145	1.02%	32.32%
Amer. Midl. Naturalist	144	1.04%	32.54%
Icon.	140	1.05%	32.76%
Phycologia	139	1.07%	32.97%
Edwards's Bot. Reg.	138	1.09%	33.19%
Beih. Bot. Centralbl.	137	1.10%	33.40%
Mycol. Res.	136	1.12%	33.61%
Syst. Nat. ed.	135	1.13%	33.81%
Beih. Geol. Jahrb.	134	1.15%	34.02%
Pollen & Spores	132	1.17%	34.22%
Contr. U.S. Natl. Herb.	130	1.18%	34.42%
Oesterr. Bot. Z.	130	1.20%	34.62%
Species Plantarum ed.	130	1.22%	34.82%
Hist. Nat. Vég. Phan.	129	1.23%	35.02%
Bot. Mag. (Tokyo)	127	1.25%	35.22%
Fruct.	127	1.26%	35.41%
Pflanzenr. IV.	125	1.28%	35.61%
Gard. Chron. ser.	124	1.30%	35.80%
Sp. Algarum	124	1.31%	35.99%
Phycol. Gen.	121	1.33%	36.17%
Bot. Gaz.	117	1.35%	36.35%
Mem. New York Bot. Gard.	117	1.36%	36.53%
Publ. Inst. Micol. Univ. Recife	115	1.38%	36.71%
New Fl.	114	1.39%	36.89%
Acta Phytotax. Sin.	113	1.41%	37.06%
Ann. Mag. Nat. Hist. ser.	111	1.43%	37.23%
Fragm.	110	1.44%	37.40%
Mém. Mus. Hist. Nat.	108	1.46%	37.57%
Adansonia	107	1.47%	37.73%
J. Hattori Bot. Lab.	107	1.49%	37.90%
Notul. Syst. (Paris)	107	1.51%	38.06%
Introd.	106	1.52%	38.22%
Lex.	106	1.54%	38.39%
Bot. Mus. Leafl.	104	1.56%	38.55%
Bot. Not.	104	1.57%	38.71%
Bryologist	103	1.59%	38.87%
Civ. Nat. Hist. Jamaica	102	1.60%	39.02%
Trudy Vsesojuzn. Neftian Naucno-Issl. Geol.-Razvedochn. Inst. ser.	101	1.62%	39.18%
Fl. Flum.	99	1.64%	39.33%
Denkschr. Kaiserl. Akad. Wiss., Math.-Naturwiss. Kl.	97	1.65%	39.48%
Persoonia	97	1.67%	39.63%
Aut. Bot.	96	1.69%	39.78%
Ber. Bekanntm. Verh. Königl. Preuss. Akad. Wiss. Berlin	96	1.70%	39.93%
Meth.	96	1.72%	40.07%
J. Jap. Bot.	95	1.73%	40.22%
Feddes Repert.	94	1.75%	40.36%
Trans. Amer. Philos. Soc. ser.	94	1.77%	40.51%
Ann. Sci. Nat. (Paris)	93	1.78%	40.65%
Bot. Zurn. (Moscow & Leningrad)	93	1.80%	40.80%
Brittonia	93	1.81%	40.94%
Good Book	93	1.83%	41.08%
J. Bot. (Morot)	93	1.85%	41.22%
Handb.	92	1.86%	41.37%
Adansonia ser.	90	1.88%	41.51%
Mycol. Pap.	90	1.90%	41.64%
Palaeontology	90	1.91%	41.78%
Repert. Spec. Nov. Regni Veg. Beih.	89	1.93%	41.92%
Bull. New York Bot. Gard.	88	1.94%	42.05%
Orchid Rev. vol.	88	1.96%	42.19%
Anales Soc. Ci. Argent.	87	1.98%	42.32%
Dokl. Akad. Nauk SSSR	87	1.99%	42.46%
J. Wash. Acad. Sci.	86	2.01%	42.59%
Syn. Pl. [Persoon]	86	2.03%	42.72%
Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.	85	2.04%	42.85%
Summa Veg. Scand.	85	2.06%	42.98%
Paleontol. Zurn.	84	2.07%	43.11%
Syst. Veg. [Sprengel]	84	2.09%	43.24%
Versuch Fl. Vorwelt	84	2.11%	43.37%
Ceská Mykol.	82	2.12%	43.50%
J. Arnold Arbor.	82	2.14%	43.62%
Deutsche Bot. Herbarienbuch (Nom.)	81	2.16%	43.75%
J. Bot. (Hooker)	81	2.17%	43.87%
Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn	81	2.19%	44.00%
Anales Mus. Nac. Hist. Nat. Buenos Aires	80	2.20%	44.12%
Fl. Pyrenaea	80	2.22%	44.25%
Ann. Missouri Bot. Gard.	79	2.24%	44.37%
Fl. Hautes-Pyrénées	79	2.25%	44.49%
J. Paleontol.	79	2.27%	44.61%
Bot. Zeitung	78	2.28%	44.73%
Geologie	78	2.30%	44.85%
Mant.	77	2.32%	44.97%
Pl. Vasc. Gen.	77	2.33%	45.09%
Trudy Vsesojuzn. Neftian Naucno-Issl. Geol.-Razvedochn. Inst.	77	2.35%	45.21%
Hist. Pl.	76	2.37%	45.32%
Profess. Pap. U.S. Geol. Surv.	76	2.38%	45.44%
Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Tweede Sect.	76	2.40%	45.56%
Ann. Soc. Linn. Lyon ser.	75	2.41%	45.67%
Bidrag Kännedom Finlands Natur Folk	75	2.43%	45.79%
J. Phycol.	75	2.45%	45.90%
Michelia	75	2.46%	46.02%
Blumea	74	2.48%	46.13%
Charact. Gen.	74	2.50%	46.25%
Essai Agrost.	74	2.51%	46.36%
Bull. Jard. Bot. État	73	2.53%	46.47%
Jahrb. Nassauischen Vereins Naturk.	73	2.54%	46.59%
Syn. Pl. Glum.	73	2.56%	46.70%
Amer. Monthly Mag. & Crit. Rev.	72	2.58%	46.81%
Philipp. J. Sci., C	71	2.59%	46.92%
Brit. Herbal.	69	2.61%	47.02%
Diatom Res.	69	2.63%	47.13%
Epim. Bot.	69	2.64%	47.24%
Nat. Pflanzenfam. ed.	69	2.66%	47.34%
Notes Roy. Bot. Gard. Edinburgh	69	2.67%	47.45%
Pl. Asiat. Rar.	69	2.69%	47.56%
Rabenhorst's Kryptogamen-Fl. Deutschl. ed.	69	2.71%	47.66%
Trudy Inst. Geol. Geofiz. Akad. Nauk SSSR, Sibirsk. Otd.	69	2.72%	47.77%
Bull. Mus. Hist. Nat. (Paris)	68	2.74%	47.87%
Paläontol. Abh., Abt. B, Paläobot.	68	2.75%	47.98%
Ann. Bot. (London)	67	2.77%	48.08%
Gen. Suppl.	67	2.79%	48.18%
Edinburgh New Philos. J.	65	2.80%	48.28%
Gen. Hist.	65	2.82%	48.38%
J. Indian Bot. Soc.	65	2.84%	48.48%
Proc. Linn. Soc. London	65	2.85%	48.58%
Bull. Herb. Boissier	64	2.87%	48.68%
Bull. Mus. Hist. Nat. (Paris) ser.	64	2.88%	48.78%
Gen. Sp. Orchid. Pl.	64	2.90%	48.88%
Ann. Mus. Natl. Hist. Nat.	63	2.92%	48.98%
Beih. Nova Hedwigia	63	2.93%	49.07%
Consp.	63	2.95%	49.17%
Fl. Bor.-Amer.	63	2.97%	49.27%
Rev. Mycol. (Toulouse)	63	2.98%	49.36%
Acta Soc. Fauna Fl. Fenn.	62	3.00%	49.46%
Gen. Nova Madag.	62	3.01%	49.56%
Neogenyton	62	3.03%	49.65%
Deutschl. Fl. Abt.	61	3.05%	49.74%
London Clay Flora	61	3.06%	49.84%
Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.	61	3.08%	49.93%
Univ. Calif. Publ. Bot.	61	3.10%	50.03%
Bol. Acad. Nac. Ci.	60	3.11%	50.12%
Fl. Ind. Bat.	60	3.13%	50.21%
Syst. Nat. [Gmelin]	60	3.14%	50.30%
Syst. Orbis Veg.	60	3.16%	50.40%
Micropaleontology	59	3.18%	50.49%
Trudy Geol. Inst. Akad. Nauk SSSR ser.	59	3.19%	50.58%
Bryol. Univ.	58	3.21%	50.67%
Grevillea	58	3.22%	50.76%
J. Phys. Chim. Hist. Nat. Arts	58	3.24%	50.85%
Probl. Paleontol. (Moscow)	58	3.26%	50.93%
Syst. Mycol.	58	3.27%	51.02%
Arch. Jard. Bot. Rio de Janeiro	57	3.29%	51.11%
Drevn. Vodorosli SSSR	57	3.31%	51.20%
Lichenologist	57	3.32%	51.29%
Cact.	56	3.34%	51.37%
Meddel. Grønland	56	3.35%	51.46%
Novosti Sist. Vyssh. Rast.	56	3.37%	51.55%
Acta Bot. Acad. Sci. Hung.	55	3.39%	51.63%
Atti Reale Ist. Veneto Sci. ser.	55	3.40%	51.72%
Syst. Veg. [Roemer & Schultes]	55	3.42%	51.80%
Bull. Geol. Mining Metallurg. Soc. India	54	3.44%	51.88%
Neue Untersuch. Mikrostruktur Steinkohle	54	3.45%	51.97%
Traité Paléontol. Vég.	54	3.47%	52.05%
Ark. Bot.	53	3.48%	52.13%
Mém. Soc. Imp. Naturalistes Moscou	53	3.50%	52.21%
Nouv. Bull. Sci. Soc. Philom. Paris	53	3.52%	52.29%
Symb. Antill.	53	3.53%	52.38%
Verh. K. K. Zool.-Bot. Ges. Wien	53	3.55%	52.46%
Bot. Centralbl.	52	3.57%	52.54%
Bull. Soc. Bot. Genève ser.	52	3.58%	52.62%
Matsushima Mycological Memoirs	52	3.60%	52.70%
Rev. Micropaléontol.	52	3.61%	52.78%
Syn. Comp.	52	3.63%	52.86%
Abh. Königl. Böhm. Ges. Wiss. ser.	51	3.65%	52.94%
Bull. Soc. Roy. Bot. Belgique	51	3.66%	53.01%
Fl. Southeast. U.S.	51	3.68%	53.09%
Geol. Jahrb.	51	3.69%	53.17%
Kavaka	51	3.71%	53.25%
Bonplandia	50	3.73%	53.33%
Bot. Mag.	50	3.74%	53.40%
Comment. Pl. Africae Austr.	50	3.76%	53.48%
Dict. Class. Hist. Nat.	50	3.78%	53.56%
Fl. Aegypt.-Arab.	50	3.79%	53.63%
Hortus Kew. ed.	50	3.81%	53.71%
Mycopathol. Mycol. Appl.	50	3.82%	53.79%
Schweiz. Paläontol. Abh.	50	3.84%	53.87%
Abh. Königl. Akad. Wiss. Berlin	49	3.86%	53.94%
Bull. Jard. Bot. Buitenzorg ser.	49	3.87%	54.02%
Fl. URSS	49	3.89%	54.09%
Ges. Naturf. Freunde Berlin Mag. Neuesten Entdeck. Gesammten Naturk.	49	3.91%	54.17%
Leidse Geol. Meded.	49	3.92%	54.24%
Novon	49	3.94%	54.32%
Rel. Haenk.	49	3.95%	54.39%
Ann. Mus. Bot. Lugduno-Batavi	48	3.97%	54.47%
Commentat.	48	3.99%	54.54%
J. S. African Bot.	48	4.00%	54.62%
Kongl. Svenska Vetenskapsakad. Handl.	48	4.02%	54.69%
Mém. Soc. Phys. Genève	48	4.04%	54.76%
Pittonia	48	4.05%	54.84%
Rev. Mycol. (Paris)	48	4.07%	54.91%
Voyage Monde, Uranie Physicienne, Bot.	48	4.08%	54.98%
Anales Univ. Chile	47	4.10%	55.06%
Biblioth. Lichenol.	47	4.12%	55.13%
Izv. Akad. Nauk SSSR, Ser.	47	4.13%	55.20%
Mem. Amer. Acad. Arts	47	4.15%	55.27%
Musci Fl. Buitenzorg	47	4.16%	55.35%
Stud. Mycol.	47	4.18%	55.42%
Svensk Bot. Tidskr.	47	4.20%	55.49%
Tent. Pterid.	47	4.21%	55.56%
Beih. Sydowia	46	4.23%	55.63%
Lunds Univ. Årsskr.	46	4.25%	55.71%
Malpighia	46	4.26%	55.78%
Notul. Pl. Asiat. (Posthum. Pap.)	46	4.28%	55.85%
Pl. Preiss.	46	4.29%	55.92%
Verh. Bot. Vereins Prov. Brandenburg	46	4.31%	55.99%
Acta Univ. Lund. ser.	45	4.33%	56.06%
Bryol. Eur.	45	4.34%	56.13%
Geophytology	45	4.36%	56.20%
J. Asiat. Soc. Bengal, Pt.	45	4.38%	56.27%
Kongl. Svenska Vetenskapsakad. Handl. ser.	45	4.39%	56.34%
Natl. Cact. Succ. J.	45	4.41%	56.40%
Preslia	45	4.42%	56.47%
Rev. Bryol. Lichénol. ser.	45	4.44%	56.54%
Suppl.	45	4.46%	56.61%
Acta Bot. Sin.	44	4.47%	56.68%
Bull. Brit. Mus. (Nat. Hist.), Geol.	44	4.49%	56.75%
Fam. Nat. Syn. Monogr.	44	4.50%	56.82%
Index Sem. Hortus Bot. Petrop.	44	4.52%	56.88%
J. Bot. Agric.	44	4.54%	56.95%
Leafl. Bot. Observ. Crit.	44	4.55%	57.02%
Nuovo Giorn. Bot. Ital.	44	4.57%	57.09%
Selbyana	44	4.59%	57.15%
Acta Phytotax. Geobot.	43	4.60%	57.22%
Antonie van Leeuwenhoek Ned. Tijdschr. Hyg.	43	4.62%	57.29%
Bot. Zhurn. (Moscow & Leningrad)	43	4.63%	57.35%
Fl. Cap.	43	4.65%	57.42%
Int. J. Pl. Sci.	43	4.67%	57.49%
Monogr. U.S. Geol. Surv.	43	4.68%	57.55%
Nova Acta Regiae Soc. Sci. Upsal. ser.	43	4.70%	57.62%
Palaeontographica	43	4.72%	57.68%
Philipp. J. Sci.	43	4.73%	57.75%
Proc. Acad. Nat. Sci. Philadelphia	43	4.75%	57.82%
Trudy Paleontol. Inst. Akad. Nauk SSSR	43	4.76%	57.88%
Ann. Jard. Bot. Buitenzorg	42	4.78%	57.95%
Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk SSSR	42	4.80%	58.01%
Fl. Trop. Africa	42	4.81%	58.08%
Hepaticae [prepr. Engler-Prantl]	42	4.83%	58.14%
Mém. Acad. Imp. Sci. Saint-Pétersbourg Sér.	42	4.85%	58.21%
Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur.	42	4.86%	58.27%
Rev. Gén. Bot.	42	4.88%	58.33%
Botaniste	41	4.89%	58.40%
Fl. Cryptog. German.	41	4.91%	58.46%
J. Proc. Linn. Soc., Bot.	41	4.93%	58.52%
Monogr. Discom. Bohemiae	41	4.94%	58.59%
Trans. Linn. Soc. London, Bot. ser.	41	4.96%	58.65%
Bull. Soc. Géol. France sér.	40	4.97%	58.71%
Enum. Pl. Carib.	40	4.99%	58.77%
Études Gén. Euphorb.	40	5.01%	58.84%
Fl. Ludov.	40	5.02%	58.90%
Minnesota State Geol. Surv. Bull.	40	5.04%	58.96%
Opera Bot.	40	5.06%	59.02%
Orchids	40	5.07%	59.08%
Trudy Imp. S.-Peterburgsk. Bot. Sada	40	5.09%	59.14%
Bol. Soc. Argent. Bot.	39	5.10%	59.20%
Centralbl. Bakteriol.,	39	5.12%	59.26%
Diagn. Pl. Orient. ser.	39	5.14%	59.32%
Fl. Brit. India	39	5.15%	59.38%
Mitt. Bot. Staatssamml. München	39	5.17%	59.44%
Nat. Pflanzenfam. Nachtr. II-IV	39	5.19%	59.50%
Proc. Linn. Soc. New South Wales	39	5.20%	59.56%
Trans. Mycol. Soc. Japan	39	5.22%	59.62%
Veg. Syst.	39	5.23%	59.68%
Ann. Kon. Mus. Midden-Afrika, Reeks	38	5.25%	59.74%
Arch. Hydrobiol. Suppl.	38	5.27%	59.80%
Bih. Kongl. Svenska Vetensk.-Akad. Handl.	38	5.28%	59.86%
Bot. Misc.	38	5.30%	59.92%
Bull. Herb. Boissier ser.	38	5.32%	59.98%
Icon. Fungorum	38	5.33%	60.03%
Monogr. Phan.	38	5.35%	60.09%
Mus. Bot. Lugd.-Bat.	38	5.36%	60.15%
Telopea	38	5.38%	60.21%
Viznachnik Prisnovodnikh Vodorostei URSR	38	5.40%	60.27%
Ann. Soc. Géol. Nord	37	5.41%	60.33%
Austral. J. Bot.	37	5.43%	60.38%
Bot. Reg.	37	5.44%	60.44%
Diatom	37	5.46%	60.50%
Hist. Nat. Îles Canaries	37	5.48%	60.55%
Icon. Pl. ad t.	37	5.49%	60.61%
Nuovo Giorn. Bot. Ital. ser.	37	5.51%	60.67%
Physis (Buenos Aires)	37	5.53%	60.72%
Trudy Bot. Inst. Akad. Nauk SSSR, Ser.	37	5.54%	60.78%
Alsogr.	36	5.56%	60.84%
Def. Gen. ed. Boehmer	36	5.57%	60.89%
Krypt.-Fl. Schlesien	36	5.59%	60.95%
Taiwania	36	5.61%	61.00%
Atas Inst. Micol.	35	5.62%	61.06%
Atlas Mittel Jungtertiären Sporen N. Mitteleur.	35	5.64%	61.11%
Candollea	35	5.66%	61.16%
Fl. Indica	35	5.67%	61.22%
Mém. Soc. Sci. Nat. Cherbourg	35	5.69%	61.27%
Nat. Pflanzenfam. Nachtr.	35	5.70%	61.33%
New Zealand J. Bot.	35	5.72%	61.38%
Pl. Veron.	35	5.74%	61.43%
Rumphia	35	5.75%	61.49%
Syll. Pl. Nov.	35	5.77%	61.54%
Acta Bot. Neerl.	34	5.79%	61.59%
Arch. Naturgesch.	34	5.80%	61.65%
Dansk Bot. Ark.	34	5.82%	61.70%
Dict. Universel Hist. Nat.	34	5.83%	61.75%
Ench. Fungorum	34	5.85%	61.80%
Meddeland. Soc. Fauna Fl. Fenn.	34	5.87%	61.86%
Mus. Bot.	34	5.88%	61.91%
Rev. Bryol.	34	5.90%	61.96%
Schlechter Orchideen	34	5.91%	62.01%
Sp. Musc.	34	5.93%	62.07%
Trans. Roy. Soc. Edinburgh	34	5.95%	62.12%
Vorles. Churpfälz. Phys.-Öcon. Ges.	34	5.96%	62.17%
Webbia	34	5.98%	62.22%
Bothalia	33	6.00%	62.27%
Curr. Sci.	33	6.01%	62.32%
Encycl. Meth., Bot.	33	6.03%	62.37%
Folia Geobot. Phytotax.	33	6.04%	62.43%
Gartenflora	33	6.06%	62.48%
Handb. Allg. Mykol.	33	6.08%	62.53%
Philos. Trans., Ser. B	33	6.09%	62.58%
Proc. Indian Acad. Sci.	33	6.11%	62.63%
Senckenberg. Leth.	33	6.13%	62.68%
Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München	33	6.14%	62.73%
Syst. Bot.	33	6.16%	62.78%
Allg. Gartenzeitung	32	6.17%	62.83%
Anais Soc. Biol. Pernambuco	32	6.19%	62.88%
Atlantic J.	32	6.21%	62.93%
Bol. Geol. (Bogota)	32	6.22%	62.98%
Bot. Mag. t.	32	6.24%	63.03%
Darwiniana	32	6.26%	63.08%
Gen. Filicum	32	6.27%	63.13%
Gen. Pl. Fragm.	32	6.29%	63.18%
J. Bot. (Schrader)	32	6.30%	63.22%
Jahrb. Wiss. Bot.	32	6.32%	63.27%
Magyar Állami Földt. Intéz. Évk.	32	6.34%	63.32%
Melet. Bot.	32	6.35%	63.37%
Parad. Lond. ad t.	32	6.37%	63.42%
Philos. Bot.	32	6.38%	63.47%
Pl. Aequin.	32	6.40%	63.52%
Pl. Coromandel	32	6.42%	63.57%
Recueil Trav. Bot. Néerl.	32	6.43%	63.62%
Z. Deutsche Geol. Ges.	32	6.45%	63.67%
Aliso	31	6.47%	63.72%
Bernice P. Bishop Mus. Bull.	31	6.48%	63.76%
Cactaceae	31	6.50%	63.81%
Fl. Calvados ed.	31	6.51%	63.86%
Fl. Ind. Bat. Suppl.	31	6.53%	63.91%
Hist. Chile, Bot.	31	6.55%	63.95%
Ill. Hort.	31	6.56%	64.00%
Jahrb. Preuss. Geol. Landesanst.	31	6.58%	64.05%
Mycol. Writings	31	6.60%	64.10%
Naturwiss. Reise Mossambique,	31	6.61%	64.14%
Nordic J. Bot.	31	6.63%	64.19%
Trudy Inst. Geol. Nauk Akad. Nauk SSSR	31	6.64%	64.24%
Verzeichnis Amer. Sukk. Revision Syst. Kakteen	31	6.66%	64.29%
Willdenowia	31	6.68%	64.34%
Biblioth. Bot.	30	6.69%	64.38%
Bol. Soc. Brot. ser.	30	6.71%	64.43%
Bull. Soc. Hist. Nat. Afrique N.	30	6.73%	64.47%
Calcutta J. Nat. Hist.	30	6.74%	64.52%
Mem. Torrey Bot. Club	30	6.76%	64.57%
Paleontol. Zhurn.	30	6.77%	64.61%
Symb. Bot. Upsal.	30	6.79%	64.66%
Veg. Kingdom	30	6.81%	64.71%
Z. Sukkulentenk.	30	6.82%	64.75%
Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.	29	6.84%	64.80%
Bot. Tidsskr.	29	6.85%	64.84%
Brit. Fl. Gard.	29	6.87%	64.89%
Companion Bot. Mag.	29	6.89%	64.93%
Giorn. Bot. Ital.	29	6.90%	64.97%
Kongel. Norske Vidensk. Selsk. Skr. (Trondheim)	29	6.92%	65.02%
Mater. Vsesoyuzn. Nauchno-Issl. Geol. Inst. ser.	29	6.94%	65.06%
Med. Fl.	29	6.95%	65.11%
Ned. Kruidk. Arch.	29	6.97%	65.15%
New Zealand Geol. Surv. Paleontol. Bull.	29	6.98%	65.20%
Novae Holl. Pl. Spec.	29	7.00%	65.24%
Pl. Hartweg.	29	7.02%	65.29%
Proc. Biol. Soc. Washington	29	7.03%	65.33%
Soc. Géol. Nord Mém.	29	7.05%	65.38%
Akad. Wiss. Wien Sitzungsber., Math.-Naturwiss. Kl., Abt.	28	7.07%	65.42%
Bot. Mar.	28	7.08%	65.46%
Bot. Mater. Otd. Sporov. Rast. Bot. Inst. Komarova Akad. Nauk SSSR	28	7.10%	65.51%
Bull. Mus. Natl. Hist. Nat., B, Adansonia	28	7.11%	65.55%
Contr. Gray Herb.	28	7.13%	65.59%
Essai Crypt. Écorc. Exot. Off.	28	7.15%	65.64%
Gen. Sp. Orchid. Nov.	28	7.16%	65.68%
Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss.	28	7.18%	65.72%
Palynol. Stud. Upper Los Cuervos & Mirador Form.	28	7.19%	65.76%
Rev. Algol. ser.	28	7.21%	65.81%
Ricerche	28	7.23%	65.85%
Acta Univ. Lund. Afd.	27	7.24%	65.89%
Alcheringa	27	7.26%	65.93%
Ann. Gén. Sci. Phys.	27	7.28%	65.98%
Austral. Syst. Bot.	27	7.29%	66.02%
Bull. Mens. Soc. Linn. Paris ser.	27	7.31%	66.06%
Def. Gen. ed.	27	7.32%	66.10%
Fl. Columbiae	27	7.34%	66.14%
Fund. Agrost.	27	7.36%	66.18%
Gen. Pl.	27	7.37%	66.22%
Hortus Berol.	27	7.39%	66.27%
Lilloa	27	7.41%	66.31%
Mitt. Bot. Inst. TH Wien	27	7.42%	66.35%
Mycol. Europ.	27	7.44%	66.39%
Nyt Mag. Naturvidensk.	27	7.45%	66.43%
On Asclepiad.	27	7.47%	66.47%
Paläontol. Z.	27	7.49%	66.52%
Proc. Roy. Soc. Edinburgh	27	7.50%	66.56%
Smithsonian Misc. Collect.	27	7.52%	66.60%
Sp. Musc. Suppl.	27	7.54%	66.64%
Syst. Lich. Germ.	27	7.55%	66.68%
Traité Arbres Arbust.	27	7.57%	66.72%
Trans. Microscop. Soc. London ser.	27	7.58%	66.77%
Beitr. Fl. Vorwelt	26	7.60%	66.81%
Commentat. Legum. Gener.	26	7.62%	66.85%
Fl. Brit. W. Indian Islands	26	7.63%	66.89%
Fl. Gén. Indo-Chine	26	7.65%	66.93%
Fl. Orient.	26	7.66%	66.97%
Neues Jahrb. Geol. Paläontol., Monatsh.	26	7.68%	67.01%
Nov. Veg. Descr.	26	7.70%	67.05%
Nova Gen. Pl.	26	7.71%	67.09%
Pl. Wright.	26	7.73%	67.13%
Plant Syst. Evol.	26	7.75%	67.17%
Syn. Pl. Succ.	26	7.76%	67.21%
Abh. Königl. Ges. Wiss. Göttingen	25	7.78%	67.24%
Ann. Naturhist. Mus. Wien	25	7.79%	67.28%
Blätt. Kakteenf.	25	7.81%	67.32%
Bull. Soc. Hist. Nat. Autun	25	7.83%	67.36%
Enum. ed.	25	7.84%	67.40%
Enum. Pl.	25	7.86%	67.44%
Enum. Pl. Hügel.	25	7.88%	67.47%
Gard. Chron.	25	7.89%	67.51%
Hist. Pl. Guiane Suppl.	25	7.91%	67.55%
J. Acad. Nat. Sci. Philadelphia	25	7.92%	67.59%
Malesia	25	7.94%	67.63%
Mém. Soc. Linn. Paris	25	7.96%	67.67%
Observ. Bot.	25	7.97%	67.71%
Oesterr. Bot. Wochenbl.	25	7.99%	67.74%
Prodr. Fl. Nepal.	25	8.01%	67.78%
Prodr. Hist. Vég. Foss.	25	8.02%	67.82%
Symb. Bot.	25	8.04%	67.86%
Syst. Ascomycetum	25	8.05%	67.90%
Abh. Königl. Preuss. Geol. Landesanst. ser.	24	8.07%	67.94%
Acta Horti Berg.	24	8.09%	67.97%
Anleit. ed.	24	8.10%	68.01%
Atti Ist. Bot. Univ. Pavia ser.	24	8.12%	68.05%
Bot.-Syst. Not.	24	8.13%	68.08%
Bull. Brit. Mus. (Nat. Hist.), Bot.	24	8.15%	68.12%
Bull. Brit. Mus. (Nat. Hist.), Geol. Suppl.	24	8.17%	68.16%
Bull. Pacific Orchid Soc. Hawaii	24	8.18%	68.19%
Cact. Succ. J. (Los Angeles)	24	8.20%	68.23%
Comment. Soc. Crittog. Ital.	24	8.22%	68.27%
Freiberger Forschungshefte C	24	8.23%	68.30%
Hydrobiologia	24	8.25%	68.34%
Iter Hispan.	24	8.26%	68.38%
J. Bryol.	24	8.28%	68.42%
J. Mycol.	24	8.30%	68.45%
J. Straits Branch Roy. Asiat. Soc.	24	8.31%	68.49%
Med. Repos. ser.	24	8.33%	68.53%
Niger Fl.	24	8.35%	68.56%
Nov. Sist. Nizsh. Rast. (Bot. Inst. Akad. Nauk SSSR)	24	8.36%	68.60%
